5000 20000
4805 2004 56
3802 3768 42
4977 71 22
1940 902 44
2519 17 81
1767 2421 6
1778 4215 80
3060 1032 23
2976 4910 16
2292 3513 41
3335 2745 52
697 2336 55
4016 2842 98
4114 4340 25
859 2901 99
180 4749 80
4912 2409 52
2811 3238 64
4680 692 45
3526 999 91
1294 2422 37
816 3785 11
4835 3975 18
905 1860 45
2766 1225 58
453 834 29
1359 4242 67
1170 1064 83
4658 4696 6
4412 3401 40
4611 1455 27
4427 8 95
2751 161 40
1007 1555 54
1447 4654 35
1629 3039 1
1376 3467 47
482 3495 48
2019 556 100
3432 573 97
1960 3675 7
4857 388 99
2187 3656 1
4250 3158 23
4435 1494 14
2993 2409 94
2676 2187 80
2063 433 87
2598 1889 66
3710 1633 13
4550 2850 37
1382 4456 7
2914 4845 30
76 3954 81
3611 2560 82
4742 3207 96
2482 1963 41
519 3424 71
4387 1189 100
3967 2297 25
4646 1587 92
2560 791 28
2252 577 81
4547 1253 66
3310 2089 26
2487 1851 10
1316 706 70
4760 1917 41
3399 1987 26
2510 4700 54
1735 1625 38
213 1269 31
2535 2843 49
403 3044 50
3515 599 87
3077 4214 7
4748 1043 61
2397 2762 94
278 2269 86
1508 1620 23
1325 882 30
4076 1249 16
2175 799 99
4340 198 63
205 4016 89
2502 289 26
4170 3591 82
691 1448 94
4343 3555 24
575 1981 54
4025 4245 51
3257 339 66
3140 3357 67
1635 2152 61
2843 4130 90
811 1079 95
1759 4853 48
429 1852 68
3615 1487 99
2072 595 91
1644 2153 77
3169 3495 89
2346 280 71
1125 3314 39
84 1662 52
3636 2776 85
505 3568 21
1551 4527 39
3664 505 4
4531 4857 50
3641 212 79
4300 209 94
2557 3837 33
1918 3220 45
876 2613 90
3631 4428 86
3555 1376 46
1302 4367 64
2170 1449 50
3366 626 26
1722 2114 51
109 4671 15
1641 3084 22
2251 4303 100
61 2319 84
1145 2060 35
2418 708 20
3338 3820 99
4836 3756 49
3999 3801 56
888 180 95
111 4036 67
2762 569 15
4215 1769 71
3325 73 97
473 1174 92
1358 4928 11
4974 2860 8
2394 4642 73
2954 4031 52
3817 4627 44
346 4588 11
1024 2837 87
2958 803 56
735 4023 90
4283 1650 58
3206 347 10
1549 4154 34
1025 2945 31
4111 1396 41
2341 2719 3
4041 995 33
1711 1997 36
973 1371 18
1675 360 7
2389 3413 32
3904 2746 12
3173 2345 41
3691 1774 42
4881 4765 57
1054 2407 63
56 3166 14
2141 3957 56
2628 2686 42
639 1290 44
815 992 82
291 4865 92
1335 2088 35
3591 1985 75
1842 4849 100
2864 4738 90
821 3598 18
612 979 84
2616 3869 53
4012 3553 49
2708 3217 92
2192 2131 94
2915 2425 61
1694 3433 57
2117 1374 76
1670 4997 42
2054 3970 38
1100 3065 97
695 3332 28
750 3969 41
786 4201 28
2726 4701 33
1854 1 42
915 858 42
2126 2066 10
1080 1454 70
904 1112 36
3532 445 27
1828 904 1
758 159 4
4168 4079 10
976 977 91
2620 2222 28
4844 4743 57
835 3380 55
174 2522 10
622 1153 65
1037 1168 43
1973 2887 86
3299 4734 75
4698 2072 75
1484 2626 44
4966 3360 7
2705 2943 83
920 8 22
1201 2936 52
3058 901 32
2073 1785 50
3951 1 20
3972 940 1
3490 2229 41
2802 2597 42
913 1481 23
1985 3244 31
3493 4960 96
4080 2684 12
1688 5 12
1745 3368 61
4630 1470 31
2084 1747 24
1220 3554 84
3029 487 37
3912 981 19
820 2451 10
941 1615 71
2554 3439 73
4611 3430 11
3970 3357 8
293 862 27
3959 2767 43
4484 869 50
3550 342 19
1787 3505 38
3159 1432 33
128 1812 30
4074 2764 19
2043 3908 40
4215 2093 61
526 3215 79
4866 2544 64
3253 4870 95
3014 964 56
3096 1839 56
3713 3342 44
1611 718 75
3629 4801 40
1055 4891 99
2975 3871 21
2122 4619 54
2540 1495 47
3400 2854 44
3664 4733 68
1143 1771 76
3482 3286 49
114 3552 36
3709 3757 49
2521 401 14
4012 2743 6
2160 1263 4
3665 4137 47
1649 4234 49
299 1400 64
1143 1120 92
1227 3576 40
2362 2154 44
4434 712 76
2297 503 5
4539 2041 96
1053 691 21
4324 2304 26
1637 2580 79
108 3479 16
4174 1300 44
3604 1859 29
2963 2906 57
3909 4331 74
1453 4110 98
3257 2011 49
1825 4862 22
3650 4228 27
4145 2528 34
2909 889 96
4674 3713 2
634 2264 39
319 1895 67
1529 4892 15
2243 200 9
2393 2892 78
1598 2238 74
314 980 15
3933 4499 47
257 902 89
3690 2861 60
4620 2803 46
2711 3422 64
3430 3059 65
1871 2170 55
4889 661 84
2632 1350 80
3648 214 58
2628 743 84
1202 2632 82
4185 4576 38
3884 492 53
3056 2983 32
4070 2063 99
828 2596 55
902 2876 80
4152 424 30
1506 936 70
3906 3971 15
2512 110 18
2319 1232 20
4458 3151 66
1690 3984 100
3629 2986 74
4173 2443 47
837 779 55
1381 4046 20
3134 3884 93
621 1906 25
4847 538 61
4714 563 19
360 4523 10
2556 223 76
754 1647 21
4045 3431 47
2433 4327 37
3595 2384 6
3577 2142 62
2597 193 88
642 808 57
2355 3053 94
356 2519 4
3467 3736 85
3137 3601 48
4955 2666 11
3779 554 24
2239 870 36
1561 2946 84
1517 2432 11
4076 3210 49
2581 69 83
616 2049 11
3536 3106 25
4104 713 29
689 4529 93
4520 1003 94
4138 570 77
1568 4114 61
3349 1815 93
4863 425 38
3808 343 98
2365 4538 45
347 2889 51
306 2975 96
3046 1504 80
44 3582 100
4447 2866 66
3577 1137 88
1699 3315 51
3550 1872 82
2166 2619 31
2792 1059 99
571 3125 21
4329 3613 32
4305 2822 5
3041 3411 41
457 4893 27
3924 269 32
1224 2600 29
3886 1556 57
281 426 33
3222 435 11
267 3276 8
2409 4298 12
4002 2987 79
152 4446 34
4551 1545 31
767 3338 97
3964 502 40
4667 1065 82
783 4107 22
1957 1642 21
1967 3074 28
3475 676 100
1681 2141 66
2779 2605 64
1861 1831 85
1798 581 91
3812 117 11
3490 4205 92
330 125 96
2160 548 11
2743 4542 84
664 3684 10
99 1912 16
3485 663 91
952 328 94
123 3940 100
582 1371 58
3572 1035 54
3699 4536 51
4087 716 6
1827 3427 48
3724 3337 46
1336 1818 56
1598 587 57
2434 627 100
2766 4821 87
655 1723 56
761 3265 47
2553 4185 66
936 3690 85
1214 700 71
3977 1012 52
345 2265 7
2489 198 82
1532 1631 40
2899 4597 77
3463 2198 96
4580 1206 54
2424 240 94
4159 2500 81
1777 3932 32
2488 3598 78
3672 4947 25
3251 4312 88
3761 4600 29
660 1828 57
4613 837 92
4238 1259 90
282 3366 10
3447 3386 86
1101 3401 83
222 1191 17
4197 4406 12
2120 1073 71
3281 3090 94
3827 3061 16
2553 2134 10
4838 4795 53
3016 529 9
1252 831 53
4759 1969 11
3513 3214 8
399 2471 51
2874 349 70
2229 4634 58
129 1307 74
347 4416 3
3797 1681 46
4723 352 45
841 3656 26
2213 3175 36
4945 311 46
2111 3337 99
1596 3809 9
3516 1906 17
2877 818 91
4 2157 81
3198 3358 14
3196 1328 34
3151 2776 48
2258 568 12
4979 298 100
4754 4741 19
3726 4336 29
4324 1179 29
2965 344 50
4597 393 10
3772 2817 21
2019 786 58
3184 3071 66
4865 3586 80
3993 163 71
3405 3025 56
4658 3070 26
3333 2567 11
2323 314 26
607 3856 2
186 3362 91
774 2747 40
982 1913 12
12 1191 4
2215 3514 54
813 1811 97
4164 3688 81
1420 2635 79
1274 73 61
2617 346 4
2238 728 80
3777 3146 59
1284 2811 64
4733 2804 80
4048 4049 86
2511 279 10
4189 4942 51
3245 2728 39
1377 4923 17
1755 762 12
1259 3428 94
2231 941 34
682 1980 37
4080 1808 77
2250 3376 76
3073 1714 98
4244 4077 59
2259 1691 81
4886 4579 27
3016 1061 33
3550 4256 84
1703 2960 36
3241 1166 1
1531 4660 40
4993 3894 16
841 1186 69
3135 3996 50
4018 442 83
1614 3593 22
2885 457 83
2199 3789 60
4058 1674 4
4342 3235 43
3323 1327 99
3745 3197 78
4246 4274 85
1832 3268 94
3729 3452 72
3365 3147 76
2685 2070 40
4238 2471 7
2406 2409 17
236 3326 69
2567 2077 14
1276 743 58
1179 850 59
4542 4968 89
2367 1846 77
4233 4076 34
1529 4383 10
2424 1753 100
2716 4460 38
3783 4121 70
4241 2572 3
1508 672 79
4975 826 20
4947 3289 76
2172 4635 19
4825 4222 72
1611 45 68
4140 210 70
2278 4507 74
2978 4156 44
1872 4217 26
720 3652 56
2486 3428 17
3091 2468 75
2573 492 39
1943 3242 23
602 3210 55
3120 2014 30
720 4742 36
1418 4400 11
3327 897 14
1744 496 8
4978 2251 21
259 2190 24
3931 964 87
300 4309 58
2437 2303 97
4171 4844 73
3378 4414 43
3169 3912 7
2036 1318 48
3326 761 65
1450 3316 43
1120 2617 69
1511 81 39
12 4451 56
1846 2546 29
1189 2383 36
4188 4943 28
1734 2218 9
1540 1571 92
1269 3460 51
3468 186 20
1883 1529 16
1253 2585 80
1562 2846 32
2255 2968 89
4098 3615 50
4730 2815 84
3699 4103 63
402 3219 43
2433 3616 83
1048 2955 92
1244 2435 75
762 4071 35
347 1452 44
3555 880 10
4708 3043 74
2705 3397 70
2147 2456 80
3759 889 70
1349 1934 86
3889 4084 83
4895 608 71
2248 3409 4
2951 1086 45
170 3935 95
20 161 51
3880 2999 25
4682 2246 73
493 639 31
2715 1928 60
2613 3569 87
800 2893 87
2724 4573 47
844 2751 27
3081 3895 1
362 2519 93
367 3736 79
1249 1382 55
1797 1371 86
873 569 79
3192 4767 7
3511 331 29
4346 2447 63
1341 2542 86
2552 2008 63
715 1899 7
3018 2491 75
3455 793 89
2752 4187 38
960 1875 54
1745 2502 90
2904 3005 50
3283 2164 35
4605 4765 91
3689 1593 74
325 3456 72
1923 3470 62
1601 4926 8
2967 3386 12
1739 2247 23
4196 708 46
3778 1734 17
4684 4944 70
149 4468 91
1137 282 67
4154 3399 41
1961 4136 45
4952 989 39
3777 4005 75
3069 4247 23
61 2155 35
4633 2577 21
2597 4887 38
2022 3630 42
2383 1763 1
183 3146 36
4921 1510 59
567 4270 79
4856 2471 41
1956 4320 86
1156 2494 13
792 2524 94
1113 1883 68
4595 2471 14
3090 449 8
1574 279 32
539 1289 62
4340 2575 29
4491 3392 10
1080 1384 4
1349 855 27
1226 1499 68
3792 4907 46
3793 1747 45
2898 1925 10
355 202 69
4043 32 96
82 3716 89
2755 1141 81
1695 848 84
914 2205 95
500 1762 51
2668 2808 82
121 4293 71
3960 4256 3
2116 2790 63
3504 1565 73
2239 830 52
1665 3195 1
4564 3890 15
4207 4258 20
2295 4595 31
1538 197 66
2491 3679 14
4852 3278 47
4065 2924 89
3015 355 40
3058 4425 81
3639 2532 29
1649 4068 7
4007 1153 35
2098 2989 17
1592 142 33
1556 2122 100
381 1999 42
4918 4619 52
1020 3055 77
1801 1495 33
1090 4020 8
4303 40 17
1826 3572 67
2712 4476 56
879 1599 8
449 930 56
2312 2949 37
4785 1504 14
2748 4884 93
3171 1659 70
1637 2555 53
3682 1260 88
208 2984 46
36 1915 21
901 2719 10
1235 3414 35
3335 1474 47
1005 1391 13
3234 1325 73
3505 2029 96
2674 1766 33
833 656 73
3587 2505 2
2907 2154 70
1634 269 12
149 2720 7
335 1272 61
4627 623 38
20 3915 74
3788 4901 59
1614 421 88
2843 3528 57
2227 4961 87
2518 1643 16
116 2307 94
1917 1758 96
2323 4855 55
739 3538 9
3297 2325 26
906 850 20
3929 133 95
1174 4775 60
3664 4219 95
899 4164 12
3864 2363 6
3505 1436 66
2274 4943 7
3732 3229 52
1973 4509 39
159 2419 75
2030 4819 88
1048 3302 43
4504 2545 46
317 2183 21
1926 581 36
4129 94 69
16 2143 7
1443 4015 62
3675 2089 70
1311 510 95
2957 4387 80
4499 3782 30
958 3915 87
4326 116 52
4566 1647 44
1720 2209 12
3995 302 13
2488 1579 99
1576 265 47
2519 429 33
912 1061 23
1965 2838 46
2734 3008 38
2696 1585 52
3670 2068 35
2203 2409 35
1503 2352 91
2796 3950 6
3095 166 95
3460 1243 56
346 3734 80
870 2007 93
1322 215 6
4418 3749 100
2271 3240 70
1429 1275 78
4245 420 71
1599 697 59
2186 2002 61
2432 1464 97
3974 276 69
4873 1872 7
1702 2086 76
745 367 31
2357 4589 75
4403 2983 100
1917 2059 22
3388 4705 71
1006 291 53
663 237 17
4570 4477 16
2299 2779 93
407 372 52
454 403 80
3382 848 58
2371 1865 33
1781 802 11
4762 3592 81
2938 528 22
4908 3105 77
4746 3279 19
3787 487 61
4319 3182 4
971 1395 79
3340 1412 26
1822 3081 67
3946 1520 13
270 177 15
1072 3090 84
4431 695 24
2798 2519 79
494 4273 85
1062 4457 89
4205 73 44
1645 2391 22
3298 2280 55
1214 771 23
3920 1376 42
1317 2714 13
2617 4890 93
2099 1036 1
4023 4356 28
2690 2274 85
3084 1092 46
2921 250 27
3002 470 88
2728 4029 26
4594 4703 24
3101 3565 63
3071 4858 58
1561 4324 56
2247 1272 96
1226 700 80
4959 1872 33
73 4441 20
3162 4142 51
2332 1553 28
1959 2328 57
4230 3169 6
3008 1978 89
684 2371 67
3864 2059 26
2208 4389 8
4976 2077 10
914 1013 31
1866 3485 55
3636 3107 99
4327 4644 43
4727 208 13
1723 57 11
4059 1198 35
3012 3978 56
4921 300 58
3861 3854 63
1776 2599 72
4763 2830 6
1382 4293 80
3563 436 48
554 2079 26
203 3291 62
944 1446 59
4909 4174 44
2065 2782 39
1306 2010 29
4569 2933 28
4827 1457 28
4885 4481 53
4049 910 35
4898 3887 80
2127 2349 16
4572 3518 9
1101 1336 56
1639 643 8
1961 3074 49
3803 2587 77
2638 4212 40
4105 4704 14
3490 1131 76
3058 117 11
1390 669 38
3553 4647 40
4603 1142 51
961 1950 76
3420 3059 34
1159 4080 40
438 4441 59
3896 573 3
3741 4937 23
3114 861 96
2163 1320 99
558 3102 24
875 2708 58
4042 3187 16
2685 4548 84
4098 498 69
4744 1926 22
3695 3853 72
3712 4658 68
4282 1142 27
2810 1136 98
1466 4549 34
3256 578 78
4300 1310 1
3580 4904 2
3962 971 27
1952 3032 61
4369 3347 78
4721 828 10
3971 2596 8
2915 2289 74
1392 4131 21
4637 15 53
3045 4397 4
1624 3570 57
1174 542 30
2919 1236 98
1120 1042 80
170 4390 90
3869 1925 19
267 622 41
372 1565 25
4773 1163 70
4617 2612 7
1474 2439 91
395 1938 64
2852 3114 51
548 3541 86
485 3427 94
608 4502 33
4879 2059 71
3099 4655 83
4403 1979 28
3780 228 77
4259 4153 23
1268 4662 52
4170 258 23
3924 1083 17
462 863 10
73 3490 71
3388 3098 86
1927 3474 5
2266 1606 91
1066 323 48
946 892 57
3376 1831 54
1045 3294 38
4443 1303 46
2065 1537 68
1998 2767 9
2462 701 27
2800 4322 50
1309 1657 18
776 490 55
4139 2631 12
181 566 48
3726 2771 4
1681 3597 77
3879 1268 72
1089 4675 46
197 4082 51
2213 127 62
1415 2769 13
2063 1720 26
1582 2722 77
2520 784 98
732 2584 39
575 4058 2
1130 2005 62
460 3210 11
1235 3746 26
3670 1431 1
2513 4780 99
712 4663 44
786 3311 42
3750 3191 73
2737 2577 13
4465 2307 28
2730 4419 100
1514 1323 69
4395 4982 1
4337 3091 33
2278 1027 68
1139 4699 85
292 2570 50
143 2631 70
4537 4578 33
427 34 9
2284 384 68
668 4992 53
3887 1188 7
1155 947 43
2812 2713 47
8 3790 23
4207 867 83
1396 3702 35
3261 3027 98
2444 1696 25
3459 1445 76
236 162 2
4484 2681 50
1253 2939 74
3966 4855 28
2513 2000 18
1218 1640 71
2155 3488 23
3541 2324 19
4726 820 91
3862 4016 54
3435 2187 3
3233 3048 62
1256 3851 76
1585 3801 80
4520 4563 44
195 617 67
4497 4372 43
4773 3042 100
1279 3096 4
4290 1451 58
155 4540 62
1951 2755 9
1170 4613 36
4381 797 20
3582 1526 51
577 2219 4
4238 3880 15
3340 3297 93
4322 2062 86
2261 3613 96
2941 1767 13
4603 1651 62
2593 1134 99
4389 654 31
3416 66 79
4943 1240 10
3268 2917 100
1453 221 73
1117 1911 33
2431 4208 98
1392 2114 31
1497 2585 20
615 4083 59
999 3526 4
373 4490 63
3013 2693 57
4026 1435 98
2567 535 83
4140 3524 12
3729 3617 90
4380 984 77
4913 2169 57
3468 1868 53
3657 3328 57
2075 4686 93
1647 3902 74
812 1653 97
1198 3827 69
1809 233 23
2568 3490 100
969 4857 64
2260 3395 67
2501 1090 60
1480 4568 52
596 3097 94
1252 3721 98
931 3784 83
3004 2152 22
1597 2822 72
2557 4646 50
2904 153 17
2734 49 25
2996 3772 33
2789 3700 39
4727 2914 44
2883 3961 100
4933 2103 74
1227 405 95
1759 1647 3
1451 4078 62
125 3723 63
2056 3694 88
3858 962 61
4005 2934 89
3321 3974 64
3414 4733 7
4735 871 34
1923 1534 41
2710 4967 42
3189 1564 98
601 2309 22
3371 4681 26
2365 2733 82
3445 3784 48
173 892 90
1049 2589 18
449 4735 74
2324 1687 95
1198 2977 9
1829 2557 11
3231 1748 100
4490 1118 8
3962 38 66
3149 1683 90
1185 2066 86
3629 3998 21
629 4615 1
4578 2472 85
66 2622 92
3758 3122 84
1032 1234 99
1950 189 46
629 585 86
3106 1700 64
2163 4386 69
2708 3159 16
1367 218 6
2287 851 64
677 387 72
3886 3765 14
3106 3419 50
3369 4845 68
2850 1139 22
3810 2627 51
3849 837 11
4657 250 6
2659 876 9
4683 43 100
1963 4363 51
61 3782 11
1310 2687 67
1546 4707 53
3505 3079 90
3364 3150 26
2201 3136 60
2386 1751 22
4583 2197 9
3886 3621 19
1368 2651 96
1205 1126 47
3742 649 2
3225 2288 31
1526 1593 21
2520 530 75
87 4025 95
3058 99 27
4387 917 20
2333 4102 32
3928 3463 78
588 1390 75
2267 3860 96
3988 2640 14
1147 3490 61
535 1321 79
953 4900 89
3093 817 34
689 4249 36
4147 390 66
942 852 82
2817 3758 39
4422 4567 50
1421 2431 69
4921 2673 11
3022 4858 9
4101 2179 96
4104 1555 25
3781 2420 31
3581 4688 64
4131 4061 28
2362 3070 40
984 4987 35
2220 154 47
4129 2766 89
3074 576 14
3766 461 97
319 948 29
2869 4904 95
932 1859 63
3783 4866 23
801 1540 97
3877 3471 73
1387 4959 18
3497 972 3
