20000 50000
5874 16490 21
15598 12821 31
9450 17410 96
9628 17166 98
5349 4882 89
7122 6054 93
8645 8902 80
5664 12117 66
3402 9162 9
6646 9325 27
7077 12208 12
10670 18508 94
10969 7988 26
13255 6492 46
16206 16855 25
8206 3982 49
13445 14817 59
5567 19414 23
6897 11239 60
19493 15731 70
15622 18174 46
17942 16679 42
478 15617 8
19463 951 36
2616 3281 7
15572 2174 42
6129 14930 2
12437 398 59
5661 674 20
2835 19925 71
12188 2316 27
1977 3228 4
12154 9863 29
13195 12646 57
18755 2484 82
9749 7714 74
11625 11080 77
11940 8494 9
3058 8589 91
3508 5229 88
7773 10935 100
8698 19922 62
17438 2097 7
1002 3156 62
12176 16378 44
10656 13001 20
15282 14133 59
9251 12031 95
18565 3776 59
15711 2315 28
10501 9665 12
12100 18857 22
5792 12973 83
10463 12106 5
526 4133 78
12505 12155 47
16339 19715 28
14696 935 2
12260 2910 83
11632 8711 72
6431 14862 92
13193 4496 17
7964 19910 56
13466 11621 85
16926 14411 31
8294 7923 80
13235 4518 92
5860 12568 91
13740 9091 71
14043 16768 78
2401 13833 2
13160 8062 54
10192 6772 69
17969 10806 88
3265 3445 16
19852 13031 51
17497 10685 5
16264 6773 25
7799 16616 11
4192 7920 55
16488 6195 81
12894 13373 97
12458 3956 67
1021 11616 1
7869 677 23
14471 16754 77
7433 9461 17
12931 11185 91
17055 11332 72
10246 8145 62
15171 19276 22
324 6863 40
12758 6758 15
17022 1066 41
3722 9576 35
8530 4164 90
7258 9276 14
18880 3804 64
14987 11952 21
11850 17166 20
7331 4114 16
14959 14927 16
413 1639 21
14637 18908 8
7333 10848 13
10671 8775 10
15911 6640 8
13033 16024 63
12615 570 52
16342 9567 67
19382 9310 79
1379 1273 80
3597 2413 52
7654 2797 71
12191 654 13
6692 16640 59
13313 18389 77
11239 16607 85
4586 13817 81
3493 13677 17
4519 5351 89
2194 8233 12
999 16177 65
10852 4086 21
19539 6343 75
7390 5710 76
7480 2950 94
148 911 24
762 9652 46
1745 19408 84
1020 16992 10
19311 2358 27
14337 1041 22
8249 5655 90
6587 18284 36
2548 12317 71
17951 5144 64
6959 12971 8
6927 3790 75
11542 2888 21
9470 7980 33
11919 3251 7
15390 14281 5
4671 8940 27
15349 17291 9
3068 12289 2
16516 1927 55
17944 17705 3
10075 17422 95
18499 11420 41
3470 12667 77
16175 2553 35
19850 1165 67
8194 1114 95
9626 14421 53
5527 14757 7
17671 4279 83
8334 16089 68
11426 668 81
297 1558 67
1097 17758 3
11556 2893 7
3214 19741 39
9629 4569 53
15411 13095 62
17727 15703 75
285 13579 7
17223 17404 85
3191 14393 55
9726 7114 58
16330 11072 92
9032 17152 7
5435 7859 42
3039 16677 24
9784 12853 85
190 8252 31
9517 12953 27
11672 10993 98
15612 9177 8
6308 3234 47
7747 2289 40
13560 16015 93
19049 6104 74
5582 12751 76
731 5460 100
17957 11839 43
3525 8894 68
19379 2647 21
2350 9099 41
5055 19202 4
9020 9180 70
2309 8204 65
17707 19541 61
5887 16819 81
16240 13938 96
3580 1046 42
18356 5280 95
17790 9913 66
17354 3476 100
12170 12931 86
8377 15999 100
15966 16240 58
8212 4067 26
6346 10515 42
19699 2859 4
6152 13381 77
15173 9588 92
19715 14175 78
7410 13169 66
11350 18586 30
17500 3040 34
17132 1746 84
5429 4540 34
19122 9388 95
19507 14221 63
18347 9521 14
19734 13352 79
6807 5054 46
12265 16946 35
969 10006 10
14690 6999 18
4803 18988 34
15563 14636 60
16406 1056 5
15012 6551 47
6473 15638 92
15101 1378 44
6696 1328 55
8973 9100 99
9298 2938 4
1989 2003 74
201 10548 79
10917 19991 89
14378 8236 85
6959 8988 19
6672 11529 12
17162 5955 83
4302 19456 12
9622 8455 20
1163 5459 59
14545 8314 63
8564 12589 16
14506 18162 4
157 6237 70
13670 7208 18
10483 13213 93
13240 15418 2
5729 5631 29
6208 15858 19
204 3399 50
12584 2983 69
2029 15277 31
6861 10367 10
6846 15681 58
17567 801 27
455 4752 16
14 6574 44
5603 3249 64
17792 1293 58
15058 9511 82
16371 8343 12
5527 11609 38
12172 329 25
8304 5175 1
8183 10781 15
11776 11892 38
16258 3279 5
11672 15192 90
1891 19874 6
15344 18982 48
4158 14289 19
2316 6379 35
3791 10148 57
10053 1354 94
9848 6185 66
5124 13920 5
9405 15008 86
9687 10082 5
5249 15752 28
16946 10714 29
17830 14641 51
1414 7169 46
16341 9773 78
13333 8122 55
4230 15535 89
15108 806 39
2599 13881 87
13841 1642 35
7716 430 71
12535 15114 84
12775 7943 35
7118 4220 14
10831 7835 91
16331 18062 77
164 4172 45
6065 19427 62
7883 6616 24
13401 6870 12
11376 16085 94
17852 391 3
10099 5553 88
1456 9368 19
4986 3601 97
9914 11984 99
18000 16070 75
18913 527 77
10165 2479 54
17748 18599 74
14384 16400 51
7989 6061 55
4018 7952 51
12726 7597 59
7769 4236 86
922 4468 74
1823 8983 71
15057 1483 69
7691 4258 50
4830 7621 51
17451 5452 14
13415 2272 6
8893 6888 10
10628 3018 3
3576 7356 78
6949 4164 100
12269 3523 21
9225 16790 95
6928 4819 6
2159 9920 60
5077 12692 25
7778 18105 36
10627 14873 5
7646 6819 55
19730 7485 1
16525 10630 93
18067 7787 54
382 6881 16
938 17699 46
3120 13829 14
15624 4769 86
10207 18225 84
9386 12815 61
8040 15437 93
6489 810 17
875 16783 83
9217 13122 17
18474 15868 97
4856 11201 86
13460 5064 76
13851 6627 95
11962 17287 14
7145 7223 75
5993 14075 10
6229 636 66
2240 12470 87
713 4358 50
16668 17436 1
8329 5135 35
1128 15453 84
15656 7597 7
4734 7268 74
16002 16977 26
7620 8796 77
268 2117 45
6547 7057 22
7328 10656 64
15452 9648 20
8090 9314 68
1616 14036 100
15657 10925 34
13294 5346 95
14629 8737 79
2606 7190 95
15663 3546 83
12986 16859 15
16450 6057 68
15175 13717 92
16877 16733 56
16771 3393 15
10945 7731 67
13414 1945 67
16858 3855 39
17187 17612 81
4262 15616 5
18344 11043 79
16450 5980 6
12494 18296 80
5950 3192 97
3896 18213 98
5700 13682 9
3329 10401 90
2364 15788 8
17041 14305 94
2182 12695 64
5813 8002 56
14034 9914 43
12845 4468 65
16773 2453 20
9925 13271 24
2745 17243 46
6001 11851 16
18461 12493 3
553 10037 92
5311 6699 39
7056 8615 62
17438 7419 12
14389 2077 36
12572 19259 80
10728 3499 14
5614 13053 20
13607 12347 92
12025 3801 48
14107 18370 5
748 455 51
17833 16741 79
2555 10567 4
17712 5019 44
3114 2063 61
16666 18626 89
2374 823 58
19663 13168 43
6279 3887 46
11138 18256 80
897 8718 62
3801 16736 2
3083 4086 56
19202 2487 88
17172 10016 83
661 7095 76
7655 10197 90
11614 1767 99
16435 10817 55
7384 8101 83
1934 231 79
19487 17252 68
6422 19006 54
2724 17983 36
19656 2765 94
10897 2650 17
106 4282 14
14942 8581 44
8637 4322 14
1311 15840 58
7866 12834 55
19178 18487 30
14035 18183 33
10637 1350 41
16879 8602 33
6241 4958 15
19395 13499 42
3566 15537 17
5552 10771 7
7711 10273 43
1899 10714 11
12287 4797 10
13782 7969 43
6541 4896 85
19993 17738 9
9251 9753 9
7040 4081 65
14725 4770 48
15526 358 66
6945 4017 97
10926 7422 68
4691 13377 21
17479 5670 4
16359 2376 29
9477 11159 50
3193 8983 89
14903 6363 72
19620 18933 46
12540 16774 52
8037 7845 56
14287 1879 48
135 1122 40
11908 179 84
15364 6997 52
10980 13299 17
85 9536 89
15187 18891 65
1562 12205 32
5445 18681 93
10060 14003 68
6330 289 53
14543 10564 69
6195 13791 2
11275 18295 37
19305 11685 22
6608 16789 58
378 19020 40
17387 456 7
2813 19743 57
9974 19001 11
12791 5447 54
19558 2634 3
9595 5190 13
16166 4360 5
8566 17771 23
14715 12567 93
14885 19244 42
8299 15625 88
8699 2749 17
1423 13127 48
10107 18963 6
16563 9523 31
26 14028 99
524 19956 47
12368 17820 10
13514 4792 30
10281 7512 50
10426 18665 62
8579 13890 7
3896 18302 7
10347 13659 9
6399 8952 71
4298 7206 99
12128 11961 63
16743 12500 72
2245 6133 36
10284 15949 100
1880 5830 25
16251 6317 41
3433 4572 93
2339 15870 96
8724 16157 76
6380 9774 3
16973 5908 12
2184 259 25
19665 12965 60
12068 17613 58
9624 16665 81
7366 4184 97
9185 11044 3
5660 6884 68
9302 18022 21
6216 10371 84
10947 6194 3
4301 13362 65
12601 1998 81
8855 14966 11
15717 6365 90
452 4448 79
13369 11266 53
5664 1518 81
5960 4257 80
15221 4144 50
5000 5880 53
18846 7922 67
16404 13495 6
19455 10111 3
6479 9008 13
185 2434 71
14466 10471 66
15260 18539 55
5845 10954 32
7899 2380 85
16086 19773 10
19281 13247 17
8901 17616 29
5565 13260 87
12296 19778 4
8428 10128 97
2107 13285 81
18497 16859 71
18798 17370 91
6003 6593 21
9131 5922 91
3444 15597 100
8921 6536 91
3682 10329 83
19543 19566 99
18749 12474 9
10111 1659 66
8946 7095 21
1129 17429 75
6030 9722 60
16491 7640 39
19505 5220 14
10603 19484 41
3766 17396 49
17304 17617 24
16996 2481 18
2235 9383 24
5304 18541 77
13784 9048 15
16773 18685 36
14760 8376 38
10046 4094 18
7560 14940 71
17988 780 57
14142 18098 46
17339 14599 55
6169 17264 45
19634 5315 15
8410 5902 17
10812 4227 43
5753 187 49
10382 330 93
15350 1065 67
10153 16184 40
15127 11975 10
7933 9860 69
3205 8494 93
4338 2061 53
1933 1853 93
14806 2854 12
4903 10023 92
9333 15455 73
6628 11854 63
11370 2757 11
17559 9749 62
322 19932 4
1271 3242 86
12598 18386 68
17753 13744 98
16127 658 14
19693 4587 79
3069 10492 10
5262 503 84
7107 15950 67
9329 18753 81
10148 15448 100
2036 11402 93
8556 19702 51
2702 10998 76
11542 5133 51
5180 12349 9
14890 17307 49
7707 3857 42
7604 5196 53
7700 16134 37
7161 17097 70
9535 14968 27
17501 15410 53
15945 16133 70
12694 12862 66
10192 3107 10
4529 8064 9
10052 14923 70
7374 19958 60
17055 10115 31
6789 5381 89
9112 19960 77
455 13364 68
17028 10087 9
16000 17808 68
10025 11369 64
8186 9709 82
7953 7917 76
13261 977 82
19737 17076 78
8933 17751 53
1502 14893 91
4054 14892 79
15893 4045 48
7022 14924 99
13455 9113 22
12647 12413 84
7222 16904 32
7539 12966 65
1749 9065 53
16713 14982 94
11785 5525 53
10839 17605 62
14554 3841 38
19322 10382 46
14845 4944 67
11669 7559 100
17969 528 36
3541 11500 43
16682 8642 70
10037 2857 61
11908 17454 69
10038 13650 91
1753 14259 67
13572 12611 3
16680 14886 37
2594 4797 19
5720 3929 45
13256 16878 89
4038 1871 51
13178 14270 28
12991 16834 10
12942 7657 14
14750 4371 16
1931 7883 26
8224 8259 12
1490 5303 4
10865 4924 68
4079 29 98
6377 19693 51
2130 4417 48
6695 8725 67
11524 10906 49
8811 17305 73
7389 4168 19
15839 17034 72
5492 10477 69
171 11974 45
12206 79 70
343 10787 37
4423 9386 41
2156 7595 67
6955 9605 11
13175 5827 85
11566 3916 99
3637 8314 93
19394 5117 26
6814 8351 97
17539 8174 11
2855 19525 36
19742 5793 17
10535 7656 23
3025 11204 97
6857 12803 61
16416 12636 76
14255 370 85
16141 9611 11
18375 6471 17
17871 7342 88
6368 8657 78
1457 642 98
11438 3881 1
6403 19106 49
365 18318 53
4278 16691 13
11098 15860 59
1743 14384 41
1923 6893 41
7315 5961 93
11807 5725 45
14025 1739 71
16956 13458 91
917 19985 43
5038 14968 41
8766 4247 24
11713 10607 48
6670 14901 18
19784 5721 56
10734 9158 75
5208 8615 51
15198 18303 75
1140 15746 20
15639 6043 33
845 8712 45
15181 11404 92
10342 2556 65
7747 18447 52
18659 10468 6
7855 12143 65
14991 16727 60
16022 18024 10
18642 4752 50
16129 17952 41
8805 1290 97
7940 4150 50
13600 11451 1
6256 6723 92
13436 9662 54
14225 12723 9
14745 7407 70
10631 13690 42
15119 6758 5
17770 6458 79
10566 8490 11
13006 11242 71
13628 4184 91
6481 11725 89
1346 18725 77
3233 6864 60
8206 5528 1
5768 17173 45
10551 4071 70
13246 5080 43
9286 15370 23
7124 10390 63
17611 8127 20
3117 13050 1
10091 7968 4
17043 15650 81
18596 9862 60
9242 17206 1
19616 12113 21
4814 6540 44
17346 12119 32
10497 7001 100
8943 5639 71
11713 3475 25
17037 19995 82
13600 16884 19
19366 18593 84
7830 14268 19
6726 2432 26
17504 13570 59
18311 13497 86
8073 10828 85
12656 2515 46
11867 6847 23
13064 13012 55
1176 5233 7
9839 15127 95
11101 100 43
3078 16439 72
3819 4104 44
656 19253 52
9580 6206 38
330 4380 15
4014 14029 17
10820 1743 76
17579 19542 41
17266 10766 68
11572 11981 38
6142 15430 1
16864 2866 58
9181 12122 69
15846 13141 36
4991 15336 30
4122 18974 80
11757 406 88
2804 7547 98
11185 17188 85
5635 11252 69
4402 5655 76
18127 8043 4
19981 12816 100
5615 8491 11
2035 14668 87
2236 18366 31
4858 5124 5
5701 13927 88
14159 646 12
7890 18760 45
15124 12839 30
11127 14934 62
990 1049 44
19510 11057 57
1965 8904 46
6606 15090 42
5104 13305 72
19220 18992 22
1583 15808 5
3884 12637 41
1187 3113 95
5639 11624 3
7616 2881 92
9172 19495 42
14660 14937 61
7052 16033 98
11652 1871 79
16702 7875 69
7848 19737 24
18334 5686 13
4629 15906 66
12920 5678 77
19906 7072 79
12133 12363 85
14782 16463 53
5776 9419 28
14527 18985 52
18177 9576 58
18845 11320 44
5211 13866 25
2260 695 56
18354 10468 31
2493 7292 3
16206 18854 5
398 14606 4
8850 7242 84
2824 6314 32
11507 16605 23
17326 5245 80
15297 16019 70
10859 12287 43
978 7612 43
4498 4963 81
18521 455 76
1685 16781 32
12 12824 84
4610 12493 28
18279 8641 48
19264 7163 45
8413 14086 52
1125 15457 38
12553 10751 47
9098 5598 58
3588 8579 84
1424 15988 5
12850 14503 62
3903 5132 97
19767 7579 38
11855 18960 45
14478 8298 25
679 17838 14
15139 4803 85
9268 9434 99
19815 18687 40
14323 2925 78
3732 2614 11
6681 8274 99
1997 10771 100
12708 16808 16
14521 8173 84
1884 7597 1
10863 12913 65
7146 8338 66
1067 11744 90
13823 4411 66
12737 12310 11
16122 18487 84
9837 10559 75
3795 4135 70
6000 18826 75
6970 3280 14
12215 12084 7
8914 3912 86
15668 11967 25
8849 2583 98
10868 5185 57
6639 8663 93
17448 1562 54
9284 6269 2
11556 2060 61
15544 1970 26
3494 19879 96
19703 11990 43
9226 6972 35
9684 7004 30
8634 13501 63
11938 11572 61
19863 6746 6
14807 10481 27
12720 11 92
6073 19654 13
14865 3907 52
5680 10366 5
2256 6111 34
11873 12002 54
5561 12305 63
12230 10573 23
7217 10010 75
397 9746 85
17776 7494 72
7076 5886 56
18394 17213 33
2144 16034 23
7175 13218 33
3655 9301 57
16039 15615 59
4392 2981 77
7547 2744 76
5070 7169 23
10499 3260 14
6072 13601 40
2826 8016 34
2349 12759 67
341 11436 89
18614 7780 24
109 4169 44
8574 5568 62
17496 18331 80
12816 19016 80
7205 17697 99
4046 14424 51
18091 14595 28
10731 11576 65
4878 19374 9
10017 976 18
15260 10849 23
17631 2438 58
17339 3838 87
12238 3292 62
12038 15763 33
12162 2876 84
10870 12795 51
8215 14636 71
8518 8889 20
3132 13314 87
9735 1781 66
18182 2148 21
12999 8905 94
3003 9276 2
12154 5602 49
648 6526 76
14138 18549 43
5386 1491 40
3969 17015 14
19140 2264 70
6299 9703 49
4123 17242 73
18826 8851 79
8035 3599 21
13917 4701 36
3990 4161 40
18955 268 77
12012 6113 28
16742 302 17
19625 12406 35
18392 5032 38
11305 727 86
11847 16079 77
6085 12381 92
5019 12997 8
1704 17791 25
9799 12972 29
2440 4761 93
8194 6377 56
19735 16426 38
5505 11893 46
15796 1048 83
302 15189 3
9267 4419 53
15598 8848 63
13746 17852 67
16362 18000 91
5183 7481 28
9021 8120 95
16280 18097 26
19897 9261 6
18143 15613 78
4313 17798 61
18065 6387 81
8898 17154 79
9029 6529 84
18669 10308 28
9114 5278 41
8317 12834 75
209 11044 68
8233 7886 29
5795 1172 65
9882 7249 11
898 15068 65
4472 11902 30
4149 17136 3
15184 7521 70
5777 4046 39
11060 4104 68
18865 4341 44
4109 18508 17
2429 7166 69
11654 17162 100
18298 17415 14
13560 17363 89
8332 11364 92
19242 6518 68
19524 11413 32
15125 16441 41
17512 8196 79
12047 469 95
980 15663 24
1230 5212 40
7221 18570 86
16551 18104 70
15486 9275 80
7440 3233 12
12836 18445 82
15943 2741 76
13207 2642 25
12843 15941 61
890 5290 97
197 840 85
7156 19637 84
1675 937 12
8491 12671 54
14472 7538 13
6875 7908 45
10603 16979 59
11549 12903 79
480 16371 95
6644 8761 86
6035 19589 69
15214 4278 65
14148 9325 34
19030 10672 40
8481 742 1
8331 12898 61
16670 16838 81
11813 2741 65
17043 19735 83
14568 9154 80
14476 10773 15
19776 15822 97
9125 5517 84
16887 4943 54
14623 16824 35
13395 12557 84
14348 19374 95
9401 1026 33
6397 11917 31
13409 6686 57
17542 12113 30
1259 16764 2
17975 12519 75
6594 4912 82
18996 4004 41
4102 820 9
13169 16110 20
6127 9199 95
5031 13626 21
661 916 4
15392 14336 38
1983 7486 82
2033 10489 38
10942 5372 65
3679 10615 82
11249 6498 26
12833 5419 72
15531 1189 22
18123 1794 31
4843 1408 59
4623 2391 80
11210 145 13
12799 523 94
9820 11200 42
6963 17508 91
10852 19741 30
14066 9232 27
5409 19157 1
13263 17058 81
19793 2966 62
10604 3285 63
9777 5295 22
17494 6327 36
6736 8049 50
1057 4309 33
10054 6994 66
5629 4293 29
3223 16723 96
8135 18494 41
1802 12729 61
9297 13167 55
5323 10760 54
4749 17456 31
8523 8115 84
3060 487 10
2605 17575 89
13821 19459 92
12388 4134 67
3022 8283 1
18047 19027 72
8514 7305 84
4616 19500 52
3055 8346 70
9679 4029 26
10679 19742 70
18181 407 45
3864 19237 13
2763 6504 35
3463 4414 81
6809 12014 36
16640 7871 97
17297 19211 90
16906 14116 50
2736 16928 90
15749 4007 85
7408 18951 65
16916 2743 14
10966 16455 81
14778 16455 22
7572 10370 89
14430 13392 71
10660 7396 99
15571 10089 29
14435 15545 1
14102 17486 99
8532 19828 50
9679 17532 3
340 13490 83
1730 5261 4
14174 15792 76
3199 12763 52
11887 13552 9
11842 8801 71
8219 6040 65
5033 3754 28
19097 3510 56
14407 9453 53
1771 7851 6
13875 19857 4
3059 9053 54
927 3804 69
4200 18386 54
4020 9180 37
670 3829 84
6301 4437 4
14147 15822 29
10683 15488 7
6818 9930 86
9834 2839 70
353 18402 20
7802 4148 97
12899 1790 75
10758 7857 6
8254 17836 63
1534 6587 74
1653 7488 73
14174 17793 98
9230 298 68
11022 5803 18
4721 15493 97
6272 467 1
13443 10182 87
12874 8479 46
875 15378 21
1516 17008 56
17860 17590 96
11702 17351 13
6538 7352 78
18881 9000 67
17707 12484 29
4453 2498 8
7782 14226 36
18065 11806 14
17993 13914 54
6573 11973 97
2046 6978 29
19497 2114 90
16367 11671 56
13157 16341 58
6760 1541 75
9552 3353 94
1643 6232 83
18385 4141 77
6622 10188 79
19621 13014 45
16777 16071 97
12247 4169 73
12221 9472 69
3868 15108 19
4310 4368 3
19667 5757 89
77 1950 46
3228 10903 80
6760 1198 86
12903 7257 32
3605 6837 59
