19000 30000
8256 14359 15
11697 12457 14
6311 18716 11
8478 16516 20
16107 3020 14
2100 10402 17
1209 13439 20
10712 186 11
8386 41 20
970 16516 15
9241 15650 14
11434 13206 13
9904 1358 16
7547 9209 6
2329 10160 17
11590 17893 13
2823 18787 18
4287 12821 4
1255 585 12
13275 17808 17
6965 17501 10
86 10381 4
2791 2746 20
4386 2706 15
4945 10716 18
4742 17399 18
11513 507 13
4994 17953 8
12100 6539 16
4188 3275 17
13273 3586 12
11785 4385 6
12428 12650 2
8267 8601 18
17991 14098 18
9612 10073 13
12671 4993 1
9203 5306 3
14536 9947 4
14444 1533 11
14931 17903 11
7773 14485 20
5675 2884 2
10850 1443 9
7619 10886 16
10749 10938 3
10951 13121 4
15811 1321 12
3926 6931 13
9190 6298 19
9441 1252 2
14104 11226 12
3116 4066 6
12627 10281 11
4220 5547 20
11258 12687 12
4773 15027 3
16949 12938 12
290 18770 3
8438 802 13
18412 8255 19
1993 3742 1
13902 15805 19
10427 12787 1
10411 11812 5
2669 2766 11
2506 14139 4
1653 16909 18
17347 12032 20
9987 10504 1
18460 1594 4
14838 330 10
16626 11536 8
3751 18835 1
17165 10627 2
16554 10181 4
10892 6302 4
16196 2736 16
11336 1838 16
6031 18070 12
10777 104 6
15336 7275 16
17739 9468 16
10480 4133 5
12060 1561 19
6605 5248 16
4037 17480 18
1443 6591 4
16556 2720 6
17234 10244 4
15099 11736 1
16995 4306 17
10540 14742 18
10537 16564 14
14811 5089 16
9562 8389 7
16549 18558 3
12181 6096 1
17661 6863 7
16552 5559 18
2413 11684 4
17923 11227 11
10741 95 10
7723 6111 10
9979 17202 10
13245 13745 6
1848 5361 2
6093 16403 3
466 13969 16
7732 4218 15
7683 13141 2
14502 10114 5
18916 9647 20
17647 13358 16
10301 13065 13
12635 11866 19
4102 16025 12
8370 9278 16
5077 2118 13
12916 2933 3
3202 7044 8
4604 5398 4
962 8200 5
799 4351 11
2185 11911 5
13201 18031 17
540 5129 6
10984 16306 9
7027 13177 20
5962 7046 4
3104 6309 19
16883 14582 12
1146 9685 20
7011 16346 20
18688 332 10
12328 7412 20
7199 9305 10
8352 9146 10
329 10844 5
7504 16472 7
1968 15845 13
7171 688 10
1509 15318 8
12002 5338 19
14433 8285 8
10853 18149 10
6044 14152 2
6308 5931 10
13560 813 6
5232 5817 12
1394 4411 13
6171 3929 2
1512 12103 7
8847 7522 12
13688 5281 8
18825 12510 8
10008 12942 10
1201 15073 10
1395 173 1
2197 18586 1
14813 14735 2
5665 10103 4
18162 9815 7
4809 16351 14
2890 1375 18
12633 17075 18
2512 14703 13
6679 6145 2
18783 14613 18
6684 14129 20
7513 190 16
9795 14994 2
448 7254 4
15300 15773 5
5667 4384 16
10237 6971 4
15012 611 11
241 11273 6
12323 18593 15
13833 6411 2
704 2068 2
10976 11500 14
5310 13669 10
1956 3170 14
17273 11795 16
6950 14607 7
7196 17593 5
2107 9431 14
2084 12609 13
13332 14782 14
1764 15923 11
16773 3922 20
13906 13483 18
18227 8658 11
928 5307 20
11870 7680 17
6089 11938 9
7635 6376 19
7512 11225 6
18642 15182 12
7040 4212 7
10372 11535 2
6158 10301 1
10867 11362 14
7702 14934 7
896 595 1
4241 14468 5
4120 7720 16
46 11875 14
6241 14993 13
10328 17860 8
15562 18654 9
3727 5058 8
9701 17127 5
15236 1689 17
15390 3574 5
17460 16138 1
9143 9344 18
0 8405 11
5808 15399 4
18980 8880 15
2853 2355 4
4467 8082 1
15034 2275 18
17820 15919 3
6795 2770 1
14699 9845 2
5800 8953 17
8796 16505 1
11023 2855 3
7260 15254 8
1533 5185 1
14918 15311 20
15916 6524 10
16466 11271 11
10086 6863 14
18568 4631 11
2852 4426 20
4827 16453 7
14713 16384 11
13495 17369 4
18101 612 13
12564 13518 16
16420 4555 17
1182 6134 7
7357 11145 16
230 14060 9
15736 10275 19
18882 3377 14
6836 6342 16
10714 4763 10
6115 18148 15
18426 18885 16
8097 8544 3
3859 13957 3
15378 3004 5
9413 2812 17
14177 482 16
11750 10531 20
13452 1909 10
4294 12198 13
14670 17509 15
9869 2050 13
11935 6565 10
540 16420 4
1956 1782 5
2595 16305 10
2092 1017 5
7525 14295 10
8970 14200 14
15855 18637 3
989 1342 7
12911 2029 6
16840 5737 1
15479 4747 6
424 2800 19
2969 11656 19
18929 3007 17
14211 6062 6
3683 13152 12
18518 4567 9
1864 9017 15
12881 10043 14
16918 511 13
10992 2586 14
8556 2978 6
4115 7061 13
5378 9552 16
13871 12394 15
310 15390 5
11184 2772 12
15492 7843 14
9417 3917 20
10235 8351 2
6665 9809 6
3514 7617 18
2440 10438 12
7346 9275 6
18453 1724 12
17278 6516 6
2260 8844 8
16020 11011 4
10647 17165 16
839 5055 14
15017 15853 6
12245 16480 5
10406 17652 10
5779 2640 10
15902 2854 20
3540 1422 6
12616 10132 9
18095 3638 17
18252 9122 1
11331 8399 17
1861 17025 6
16524 18729 5
8639 14653 1
5844 14991 9
16860 1256 2
6408 13390 8
15682 9129 3
9805 14174 8
8095 85 11
11742 9912 10
15073 9742 17
13815 13875 9
5004 1967 7
10013 15709 18
12807 8414 2
3023 17782 1
9243 15063 9
11135 4927 7
16405 14082 8
17538 10354 6
16990 15792 4
13660 3891 17
11010 11022 15
15302 9901 8
143 3362 19
6607 16143 18
7658 957 12
16986 16263 5
2360 8671 13
2171 9967 12
8518 8785 14
6860 3583 19
10589 4575 13
14271 13522 4
14213 9281 15
8212 920 12
10051 4457 4
15713 3173 2
17866 14368 13
1350 14291 8
517 7756 12
15765 10377 18
2593 13726 11
15111 17752 13
13443 2160 7
6446 3550 1
11822 14830 17
16417 12691 3
16597 2164 7
6065 5471 11
7998 5275 1
17505 4758 7
18822 17609 17
5842 4745 15
17480 13493 16
12734 11999 6
8752 7919 14
13216 2739 13
15018 3168 18
6411 9880 19
5725 2489 4
6306 10516 3
1206 8850 8
12690 14657 5
9062 9637 20
14401 7749 18
1793 9934 11
17595 17891 8
6781 11430 16
18615 18861 9
17265 8339 9
16663 5142 6
7488 10663 10
18968 4028 11
12432 6967 12
6623 9491 2
3934 3253 11
15159 5492 20
25 817 8
6735 18661 16
13130 0 14
6642 8324 8
13919 2089 15
1646 14269 16
14474 17401 6
12022 8071 14
12417 2233 9
11275 7761 16
4124 13087 15
18339 6189 11
7905 17384 7
17676 3587 16
5139 3288 15
763 11660 17
10202 4800 3
4609 7198 9
8668 7235 12
16216 7567 7
6469 8307 10
13880 16031 20
14689 7108 2
12011 7435 14
14665 8171 1
18606 5063 2
3662 7751 2
2449 4436 13
8527 9716 17
5351 18093 1
13235 14886 12
16815 11503 1
18795 9554 8
12835 4442 4
3723 4436 9
10854 1404 11
5506 8987 15
103 8549 11
11424 1521 16
10916 9800 2
8991 7241 12
16554 7191 9
10354 10409 13
5739 17318 14
15670 567 13
1985 7081 4
111 2734 15
13312 733 19
2990 2045 11
12428 10316 14
11672 2861 18
8279 4135 14
1930 8513 3
8906 10468 4
14683 12340 10
4503 13416 3
10434 15769 15
9270 13069 18
1779 1582 2
5414 2054 8
11111 8229 6
878 16585 10
17808 1455 2
2201 14112 7
12015 7449 10
4089 9997 14
15855 3001 2
4850 3784 15
2030 10099 13
8695 4568 13
15066 5452 8
10808 2243 20
3953 11083 14
10321 4889 6
3826 10595 2
8878 2762 11
16846 2880 5
15549 12504 13
10335 6334 17
9335 58 16
5363 4508 2
996 4336 11
3621 4739 16
5109 11259 5
13345 8355 15
1016 230 15
6109 8316 2
8067 5219 2
13390 8901 7
14097 16147 12
1999 9006 2
6281 17352 19
10263 8460 20
15859 12258 13
5570 16026 1
2059 5569 18
6203 15242 10
12837 15196 11
11859 14234 8
16104 10934 18
7602 5039 12
11166 1742 1
4659 11076 5
14635 13812 9
8882 1149 1
1814 7547 19
13437 4602 13
15184 12435 3
13242 4548 4
12078 9128 5
13762 8433 19
6966 13305 12
14145 8199 11
2277 14993 7
4980 17232 8
4044 5526 11
7545 9283 1
13638 906 15
17540 13660 1
8427 5472 8
1627 12292 18
2271 15846 18
6900 10434 14
1834 2521 2
7341 16562 1
3938 3302 20
17523 4347 12
12722 12374 10
17049 10286 15
10061 16512 11
10736 15403 20
5592 5736 14
3655 13747 8
8319 17612 9
14974 10533 19
3846 13479 11
3975 16372 8
9142 15501 10
9664 5185 3
906 7065 9
383 14433 15
15193 8661 13
7098 1230 14
9707 7209 6
18630 3786 18
16828 478 1
17597 11943 5
7830 1927 7
10445 7532 20
5885 13953 12
15013 7346 10
15676 13434 1
12742 7413 11
150 18908 17
11776 16558 7
11590 11656 17
7420 17869 6
1620 3649 5
16547 14464 6
11363 7450 20
18628 8405 20
6723 3325 3
11385 3871 10
796 17961 20
8067 17795 15
13724 9746 5
9389 8482 14
4603 15964 12
698 8470 17
9703 10613 9
13881 5566 15
15287 10553 4
18584 14986 16
8417 5507 11
18717 2756 10
5634 17140 18
13030 5432 8
18580 9391 19
2452 14541 7
14516 8247 19
18700 8927 8
12981 1261 14
9467 12166 8
11731 3875 20
15279 6870 12
1188 6952 19
14628 4887 13
16868 15271 11
6487 3561 10
1717 3696 16
3033 16414 9
11788 3303 8
5012 1250 14
7848 8078 2
16095 4063 17
6551 11192 17
16989 6723 13
14115 6787 6
7716 16944 15
9953 17087 3
5662 3258 18
15461 13329 19
1065 9035 15
10200 5701 9
5508 11892 16
9945 13316 6
11827 13783 3
5498 2913 17
6894 283 2
8743 1897 3
1579 13218 4
10290 3768 7
6135 18039 1
9000 6086 17
9863 13345 8
18085 3361 16
15910 332 3
16092 17735 4
10430 16507 10
1712 15576 12
1441 1574 13
3869 15792 16
771 11570 18
4698 13031 1
574 12848 10
7736 8493 18
6152 16724 7
9564 5675 2
6845 4681 17
16430 15756 3
9685 14925 2
5299 15087 4
12877 6841 14
9713 9637 15
9447 16725 13
17682 586 1
4378 1252 18
6688 17987 2
16766 1290 18
5364 8287 9
5477 14366 17
16502 1248 16
8262 9164 6
18728 10048 18
17431 17125 18
16186 18374 10
16358 17083 5
3113 14062 8
5455 6960 13
5797 9264 14
11835 8291 13
9094 1919 15
15020 14472 16
14796 2218 6
15850 858 12
6502 3592 7
10832 6885 3
1498 8109 20
2740 2276 1
371 17609 14
10232 18011 14
6509 15518 3
8048 7406 2
9010 8524 20
9447 17484 14
13611 18091 12
18740 10849 4
2005 3612 4
12588 18163 6
2828 7067 8
14978 2989 11
14305 13711 11
11187 14115 18
18344 10949 17
15277 9244 1
16379 17517 12
12428 14648 3
16280 11624 11
8320 16746 4
872 5657 17
8778 13999 12
10360 7613 20
10651 7817 17
7222 13049 14
14303 18330 13
8799 2601 18
6514 3415 18
13162 6095 17
9886 10242 20
12126 6207 11
2594 9031 10
9426 3853 8
383 15631 10
6264 13523 13
3976 9515 16
8435 18609 5
5532 14673 6
6903 7230 17
11003 15423 1
10646 11455 5
15832 803 7
16632 11171 7
18215 12895 2
12771 14779 10
3248 8225 8
6038 12073 2
14371 9424 17
6346 4282 2
14080 18945 4
15037 16468 10
10252 11880 17
4571 10601 7
13448 1167 9
3953 17881 4
17348 3656 16
18690 13064 19
15250 9749 17
1458 8731 10
6344 2042 6
3131 2077 16
12937 8939 4
2974 11379 18
13643 16047 14
8538 8146 11
12123 7799 18
2655 11335 19
18042 4568 17
3990 4959 20
6094 3572 7
15918 4623 4
9011 4896 20
15104 1786 6
10069 14696 16
3973 3420 8
16125 8682 10
5905 12748 18
5914 10149 17
8607 17151 18
12036 18446 4
11964 5005 15
8081 14406 14
15021 11543 7
9547 3769 9
3264 5076 13
4553 13384 4
6252 11339 12
16682 18846 14
16093 526 15
11995 13770 6
2286 18684 7
18550 577 18
17610 2426 12
6305 15348 6
13342 10344 4
2487 14778 14
16637 5199 1
14458 8534 16
2392 10185 3
6181 13550 5
8756 17139 15
1630 3986 1
11319 11098 1
8458 15680 12
10381 18883 12
11220 3084 13
3198 5037 5
18050 17467 4
16227 14742 17
15365 693 14
12870 18630 17
8637 5072 10
12667 16705 2
7483 10990 12
16216 11155 11
7794 4349 8
9958 4234 2
15690 14057 8
3092 1806 15
8846 7444 16
18033 12922 17
7664 998 11
1406 6064 8
6202 376 5
1465 15445 19
4560 6663 12
2942 4607 15
15860 18715 19
8722 2961 13
7030 11366 19
16977 17264 19
13285 4153 15
11222 2512 13
9013 8149 14
17647 9687 14
4202 18164 7
242 15855 1
18538 2449 5
15075 92 17
4353 7291 9
15094 8185 1
2864 2468 1
10441 6357 6
1274 15265 17
15176 965 1
9840 15509 19
317 3493 5
8466 8207 15
16755 17936 19
18328 6228 7
14141 9202 15
2693 15001 20
11675 11260 18
537 6929 17
2599 383 3
12445 29 10
14537 10687 18
18701 8777 10
7504 6792 12
18519 9353 18
6092 9606 17
7060 1711 11
4593 12157 2
4385 15304 14
13624 14219 5
5328 5420 6
15400 16681 4
4906 7041 14
3498 4790 1
15882 4893 20
15743 3587 8
10194 8724 12
812 13998 2
18594 9225 6
2173 17414 13
6676 5555 7
10741 3830 9
11568 10199 13
7957 2160 6
2340 5085 1
2967 9752 16
16394 6469 15
8353 6123 11
1319 14945 5
8116 5059 15
16238 5367 1
1691 12395 6
10055 11307 12
5762 8448 13
214 6398 19
11458 3855 11
16471 10062 9
5155 445 7
3022 14103 10
17400 203 15
8381 7397 7
1012 18948 4
18183 13728 1
14611 8283 7
10244 7371 14
17871 7061 15
7539 7640 1
15694 14991 17
13051 1150 16
8486 18178 7
5587 2739 8
17625 7636 19
2899 11139 14
17635 861 2
8754 13501 12
3409 13609 12
152 11331 13
14114 18729 5
2967 12453 18
16978 14378 9
12770 3654 4
5202 17651 3
12098 3237 4
2207 5604 12
2150 12715 17
14754 15442 12
11628 8187 16
15977 18954 8
11796 8095 4
18353 5337 16
3593 7488 14
9674 17287 14
1917 556 1
15338 1232 16
9213 6388 5
5279 8334 2
14671 6141 4
4847 4828 7
13507 1029 17
2791 3651 11
5753 18690 3
2038 12510 12
494 7598 13
671 9366 10
9472 4183 11
9405 6895 8
12453 7850 7
448 3977 9
12654 18735 7
96 15801 2
18850 17534 8
10975 16504 2
4132 7646 18
15197 14744 17
367 3689 15
10572 15903 9
6289 10915 8
18311 10832 7
3824 10321 9
5656 16152 14
15284 12291 19
3062 6220 10
11008 10633 16
2112 14113 7
6670 294 11
11454 18614 5
9858 2810 13
7341 10346 20
10390 7184 8
6763 904 16
8234 4859 1
7016 1136 16
12049 1587 14
1667 10661 11
3347 9015 10
10918 11617 3
4401 10277 1
18974 16886 10
16414 6092 17
17804 13676 13
6172 6819 3
17126 8180 15
10646 1831 18
6653 3173 2
7361 11089 18
18702 13341 11
4898 14717 20
17025 11603 17
16239 5535 4
7500 9755 7
1802 12678 19
18437 17706 1
1462 17983 6
6834 6219 2
12048 168 19
4420 16128 11
18378 6935 20
18347 8882 20
3206 4345 13
15114 11701 19
12230 6527 4
4032 11374 2
11687 402 12
630 5211 9
11359 2683 15
14873 12980 13
14170 8426 11
5592 6526 3
13321 298 20
393 6578 20
2684 16445 10
11281 6378 4
9993 14072 10
11998 352 12
1933 7953 13
4426 17350 1
10577 17305 13
2633 5278 19
2619 18770 3
738 13098 13
3354 14388 19
7767 10 6
11021 2758 10
16658 7179 15
13675 18969 20
12965 18516 8
13042 9444 6
13844 13095 4
9232 10134 15
13508 15219 20
11463 14865 11
1391 2905 12
12253 985 3
17800 18324 11
6048 3563 2
16681 16304 6
6134 14567 6
10712 12760 17
16714 11137 15
293 16750 11
12101 13737 13
5002 7890 3
11579 13574 5
7951 11887 10
13203 1117 6
2426 9234 1
13522 13406 20
12838 9177 14
866 9851 8
7540 16926 9
5593 7799 10
7541 5962 10
5773 14633 11
15820 5332 13
2814 8860 8
14886 14521 11
15223 1557 5
8560 8769 16
6685 7856 8
3754 1428 1
12996 5661 14
1217 4497 1
18411 6783 18
9964 17709 2
8172 18148 3
6792 8296 19
1703 13200 7
17317 13548 17
9469 5092 10
6222 11805 20
11092 4787 10
480 206 18
6332 12492 20
10274 7673 11
1413 3250 5
5182 9207 18
2657 12761 14
4538 11283 15
5287 12243 14
1599 5368 14
17182 8636 5
1790 17776 14
8876 4041 3
12776 17841 17
2446 18138 18
12159 18959 5
1304 12576 5
17847 12069 6
10099 7868 10
6408 13725 4
4931 9871 18
18361 156 3
11436 17761 12
9001 9754 6
1641 784 14
6600 14464 4
18663 8364 6
18374 10389 4
11630 1918 19
12583 12907 1
17715 4956 2
2018 4878 3
17042 4180 8
9481 11629 15
10344 524 7
17761 7535 16
4106 7394 6
17065 8841 1
1729 6652 11
332 3158 19
12869 6470 5
12978 12315 3
11132 11875 1
6678 18184 8
3299 3755 9
8951 16892 19
15843 8760 2
17434 3521 16
6047 9181 7
10207 12557 16
13988 13275 13
12708 18808 4
10584 7435 6
13704 4844 2
5695 3925 20
18681 7410 1
14198 7918 20
877 14078 18
8551 6478 11
2354 2546 7
18482 16628 2
5183 11488 16
3638 9171 17
14614 12478 16
16876 12330 19
16360 3470 14
9763 4906 20
13397 1824 12
15624 18345 8
17033 15739 8
504 14007 7
6264 1962 19
12242 15756 8
1913 8627 11
4966 18033 20
8929 5254 2
12831 5701 4
13501 6796 19
5073 5336 19
14440 4377 20
7736 8102 16
14970 10020 20
18120 11514 3
10592 240 4
17686 16519 12
7009 638 16
13041 5053 19
954 13994 17
4284 2641 13
12268 2056 8
727 3440 2
14798 14208 20
5224 13141 4
2545 16011 18
1334 18211 16
3911 7688 19
13872 11702 18
18822 14087 2
10157 10452 4
14166 18243 10
17336 10375 5
16336 15911 9
5916 13141 10
6091 15320 19
1449 3901 14
5083 2055 14
11901 3621 14
11981 1066 5
15199 4259 9
980 16413 20
12595 11176 8
10314 6069 5
7420 2885 1
11009 9293 2
10969 9667 5
7764 18329 19
5011 1575 15
11138 2914 20
6983 18671 15
3012 11289 7
10017 2319 15
4206 14619 11
8242 8638 20
704 16848 2
12198 11511 15
3720 5025 5
14570 12417 4
6701 8075 2
3410 4001 6
11991 2103 2
4962 6484 1
18971 13068 3
11431 8134 1
6492 17348 13
15781 9372 12
7116 17328 20
11774 9417 11
831 11375 11
12979 14317 17
7149 6706 6
1540 14540 19
16754 7963 10
14247 15753 2
18158 11274 18
6885 11734 18
4342 18885 19
14700 10239 5
4982 16844 11
10584 17616 19
13693 3722 13
9136 4690 9
3617 17140 1
1725 15038 7
13735 17885 2
499 14613 9
1408 16968 10
13528 1566 16
4930 6308 14
7728 10774 10
8924 2743 19
7197 18736 11
10113 8603 14
17584 14895 20
2741 7092 4
11076 11917 18
3409 16180 3
2786 15890 5
12995 11956 17
11627 6225 20
15535 13347 19
15206 7838 13
111 1567 12
1723 2711 2
8173 13896 6
13129 15634 20
3958 12303 11
5542 15646 11
16997 14657 14
7682 4584 11
9861 5003 16
14097 4837 18
13446 16672 4
13085 2680 2
12940 11552 10
7795 18577 17
4846 18527 18
4167 14314 11
14071 12076 15
8936 3026 15
6301 13382 4
18305 4490 18
3764 4516 9
8454 10625 3
16182 10931 12
11854 18807 11
2346 14844 11
14080 16790 3
7539 12330 19
14602 18685 17
16064 17873 6
12042 17169 19
11951 728 17
13893 13597 4
18767 16844 14
1743 8491 18
14584 527 12
4955 4908 12
4130 16655 16
14301 4327 18
11049 11594 3
18396 14975 17
6116 8795 5
8743 8928 5
12366 8915 15
2112 9733 10
10569 9464 10
8361 18211 17
9855 7711 8
8659 4110 5
15350 4827 14
17125 12571 10
8604 5204 9
12306 16524 6
10584 2952 15
6232 13932 3
15395 5810 7
14408 2803 12
8930 269 20
18654 3149 8
9773 8824 1
1099 1476 7
7648 16143 11
3687 10286 9
1905 6947 4
9716 7089 18
15640 13537 1
17524 18179 6
8211 16065 17
12787 9231 13
12556 7035 2
3904 660 14
16805 15210 13
12424 10890 19
1612 8534 13
10153 1509 15
16274 169 13
4920 16187 1
17594 18797 14
9236 588 9
4328 17914 6
13754 9830 17
11076 13898 6
16648 10904 5
16170 10350 14
11923 3437 3
229 225 13
6977 11274 16
5013 8423 7
1945 15508 16
3344 6027 3
6165 8750 18
17527 10787 13
14042 5405 8
2689 18823 5
17118 8730 14
9238 5015 11
2447 4881 8
9592 3037 6
5059 17203 19
6913 9612 7
3980 6842 11
18680 8181 8
12515 18287 11
8139 15842 3
2487 7934 7
11352 14980 10
8720 7790 11
12037 10431 8
15366 8684 13
10142 15005 11
6037 2447 16
16096 6657 19
4668 18409 2
8872 652 14
13414 1505 19
2 4482 17
583 14584 11
8525 17179 7
10089 17786 6
18827 15742 19
4509 3441 15
797 14053 10
10023 10794 15
6396 4875 2
17798 16988 18
9925 7447 8
5853 6029 19
8756 17149 12
16741 2751 6
16142 15466 1
6569 13414 4
13843 2410 19
1555 2075 3
8455 7133 15
6134 1666 20
12230 11858 18
6657 14788 3
4551 4733 17
124 17328 3
857 2324 19
8895 12570 16
7329 12903 2
6657 2987 8
16571 17398 15
7489 11774 15
657 14580 1
13824 7798 1
3662 14084 17
15952 3670 13
9592 16065 9
913 14482 6
15896 4608 5
5379 3204 18
6723 4759 17
8092 12027 11
7193 8092 5
11212 10980 13
9102 1040 16
11490 4215 17
5942 4937 3
14240 15284 2
8991 2896 11
7272 4082 12
11115 11297 9
17483 5605 6
3359 16280 6
6657 3012 14
4801 7249 20
6736 10937 16
10857 1135 8
11626 4359 13
18346 11144 1
16722 11707 6
694 17568 4
12104 10118 7
7532 14241 8
1565 5322 17
13038 3218 20
2051 15067 13
8863 8267 4
2840 6480 3
11268 4047 3
9794 5015 14
9505 949 3
7566 763 13
10101 518 15
15799 5911 8
16231 18293 18
11548 8975 2
14558 8443 19
11169 1423 7
7907 3891 20
14163 9963 3
13990 3825 17
12897 11025 2
15334 7613 8
475 5204 9
5019 11538 7
3004 12590 4
1722 6779 10
14709 9885 12
577 18227 5
10837 16497 10
17989 5727 20
7512 8453 16
9894 18450 20
1006 2576 17
9246 18379 6
9273 3092 5
16954 18403 5
12162 12553 7
17551 8284 6
8945 11754 4
2334 12930 10
11170 15328 4
8457 18493 17
2665 3914 16
2253 18890 9
2884 10671 4
8629 17867 19
16834 2759 2
2996 12375 15
8903 2947 5
5649 2076 11
5198 18491 9
1247 17232 19
6115 16692 19
10892 13196 7
4018 8441 12
10053 12008 14
6651 5005 7
13747 13659 17
8496 4531 2
729 14995 7
8903 16906 6
17761 7940 1
14547 5616 4
10467 5054 10
725 14803 17
5586 4918 5
2254 11325 7
15970 1512 6
14449 13138 18
11295 2738 5
15050 3969 1
17333 12227 15
15488 15073 9
6839 8997 12
2191 9889 8
8821 11306 11
16647 16411 16
17236 18494 13
3394 7863 5
17088 4816 11
1665 10705 6
15272 8614 2
13061 13298 7
5000 11177 3
1166 9743 14
16173 13631 4
8264 9459 10
1726 16632 1
1381 9484 8
757 8648 16
2540 6054 13
16440 2183 12
15189 2368 7
15089 11244 17
1586 17100 11
10191 4388 8
17793 253 4
12496 302 2
9924 18448 18
7079 12715 10
3529 8884 18
18681 13167 15
2677 16396 8
15405 17389 13
15587 17588 1
2890 1255 5
4854 17115 15
16332 11543 10
13580 15325 7
14632 7982 15
1189 8868 4
17916 16629 14
14083 13287 9
18176 7958 10
16365 4179 4
9736 6788 10
16421 17363 18
5923 2016 15
4286 14753 19
914 12209 4
12746 12918 10
8925 2515 12
13834 3329 3
11902 1723 2
6630 16746 19
9848 12152 2
14219 9638 3
12608 14694 15
2386 8245 18
6771 16708 4
972 17232 5
17955 15313 5
13284 8508 12
9012 16577 3
4554 14639 7
3595 4945 4
1435 9443 7
9059 7120 1
6878 15108 3
1810 13726 15
8843 1786 19
14037 17903 19
1145 16494 12
18870 7245 6
15721 18798 13
2347 9905 1
8121 4263 3
14573 14211 1
365 14596 7
17591 7672 1
18452 4793 13
3791 6012 19
752 12633 19
2983 11321 1
10013 9048 19
8188 8685 3
14424 2785 10
9993 484 9
133 863 16
2644 11076 11
2732 7631 13
3959 2780 14
16192 2916 18
15438 4311 15
3830 14690 20
10026 18052 19
9796 7491 4
5025 10285 6
18852 18437 17
17658 11634 16
1526 13805 19
5231 18034 13
18490 1642 18
2086 14674 19
2251 2745 10
8930 12698 13
16956 13793 12
10120 9465 19
8806 5998 10
1868 15940 16
9809 10832 11
1186 2418 3
1867 12823 3
9881 3631 11
2655 5304 9
18833 17105 11
16933 15881 7
3828 13564 15
13556 4638 2
7029 2262 11
14867 12753 14
18306 14017 1
16848 6415 19
16903 9476 2
8735 6258 17
125 8439 5
10123 9281 20
16179 9415 1
18131 6985 10
5755 8842 18
5338 3824 3
15250 9740 16
17613 18858 13
10756 2559 10
3656 12181 12
16689 8861 13
10378 1532 13
14695 13218 13
18552 18247 15
14746 17200 18
8367 12493 15
16689 813 5
7561 9768 12
2437 15191 10
14966 18304 2
5055 7672 2
4264 5463 6
16188 18601 6
11011 114 15
3593 2488 16
18089 14964 19
12826 5747 8
18615 3157 16
1386 7055 16
13848 4178 2
12559 10343 18
18439 10835 12
1035 8784 12
6072 7207 7
14382 14758 10
15808 18710 20
6342 6589 19
15684 11509 1
9382 16507 12
13261 852 16
6867 9074 8
16202 15051 6
18836 3018 7
5623 1755 20
13844 18172 19
9683 427 13
10638 4124 1
13014 71 15
17361 16803 3
2779 3621 16
312 7755 10
11051 10383 3
5716 15093 6
1754 18842 13
3386 9212 11
11711 4709 10
6419 13801 6
8001 7374 13
2566 10423 20
